strategy_id,name,family_id,alpha_bucket,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_trade_return,median_trade_return,match_days,avg_daily_matches,max_daily_matches,latest_matches,recent5_match_counts,recent5_all_positive,reason,missing_feature_keys
alpha223_0009,Alpha223 0009 cash-change gap broker-flow,ALPHA223_CASH_GAP_BROKER_FLOW,smart_money_accumulation,ok,8.276,0.16847595068818788,0.23787693417935918,1.553385401547041,0.6792739910837844,-0.15781671811701314,1.1442500641374056,2.613971800276336,1.067474206510962,0.47014167015362546,419.9761904761905,655.0,17256.0,0.013297464273343296,-0.0024732825784312684,830,419.1963855421687,684,404,"[{'date': '2026-06-09', 'strict_match_count': 434}, {'date': '2026-06-10', 'strict_match_count': 430}, {'date': '2026-06-11', 'strict_match_count': 436}, {'date': '2026-06-12', 'strict_match_count': 414}, {'date': '2026-06-15', 'strict_match_count': 404}]",True,,
alpha223_0109,Alpha223 0109 quality order-block turnover,ALPHA223_QUALITY_TURNOVER,trend_following,ok,2.663,0.2582772015639223,0.3455790884541995,1.9540569859520656,1.1487109659700305,-0.16900648484291514,1.306093014241169,3.6440987607504547,1.5281184069350784,0.4766700662927078,590.547619047619,676.0,24213.0,0.02009924925498327,-0.0014250000000000096,830,594.5566265060241,687,666,"[{'date': '2026-06-09', 'strict_match_count': 687}, {'date': '2026-06-10', 'strict_match_count': 616}, {'date': '2026-06-11', 'strict_match_count': 612}, {'date': '2026-06-12', 'strict_match_count': 645}, {'date': '2026-06-15', 'strict_match_count': 666}]",True,,
alpha223_0166,Alpha223 0166 expense profit volume thrust,ALPHA223_EXPENSE_PROFIT_THRUST,trend_following,ok,1.745,0.21317975154839197,0.2854423975779114,1.617437300923796,0.9028556700903789,-0.15143435037413588,1.328180668594486,3.463341803000909,1.407644134771233,0.4900637880274779,614.5714285714286,678.0,25194.0,0.01716598743451199,0.0,830,614.5481927710844,684,678,"[{'date': '2026-06-09', 'strict_match_count': 655}, {'date': '2026-06-10', 'strict_match_count': 654}, {'date': '2026-06-11', 'strict_match_count': 643}, {'date': '2026-06-12', 'strict_match_count': 661}, {'date': '2026-06-15', 'strict_match_count': 678}]",True,,
alpha223_0248,Alpha223 0248 squeeze cash-flow breakout,ALPHA223_BREAKOUT_CASH_FLOW,breakout_vol_expansion,ok,2.763,0.31062554670928866,0.39604759151559543,1.9119809359660556,1.461007693978614,-0.1561887588157741,1.5438579048805252,4.402328272661281,1.988655665795978,0.49459417110623627,320.57142857142856,376.0,13103.0,0.024135693887024284,0.0,830,320.3120481927711,378,324,"[{'date': '2026-06-09', 'strict_match_count': 316}, {'date': '2026-06-10', 'strict_match_count': 319}, {'date': '2026-06-11', 'strict_match_count': 302}, {'date': '2026-06-12', 'strict_match_count': 318}, {'date': '2026-06-15', 'strict_match_count': 324}]",True,,
alpha223_0283,Alpha223 0283 OCF noncurrent-assets order-block,ALPHA223_CASHFLOW_ASSET_TURNOVER,breakout_vol_expansion,ok,1.83,0.2117498667647526,0.2906173876050523,1.7652726138256125,0.8953992758673013,-0.15065009354302694,1.255902102406025,3.1263194204206326,1.4054807864849697,0.48575299720808013,609.1428571428571,655.0,24995.0,0.017598490535144323,0.0,830,608.4397590361446,655,611,"[{'date': '2026-06-09', 'strict_match_count': 597}, {'date': '2026-06-10', 'strict_match_count': 604}, {'date': '2026-06-11', 'strict_match_count': 589}, {'date': '2026-06-12', 'strict_match_count': 595}, {'date': '2026-06-15', 'strict_match_count': 611}]",True,,
alpha_miner_pymoo_nsga3_novelty_0193,Pymoo NSGA-III novelty 0193 sentiment margin flow,SMART_MONEY_ACCUMULATION,defensive_accumulation,unsupported_feature,0.874,,,,,,,,,,,,,,,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,missing_feature_key,"['factorSignals.margin_balance', 'factorSignals.us_sentiment_score']"
defensive_accumulation_seed_v1,Defensive accumulation seed,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,0.68,0.15820406140434295,0.22240236085544082,1.436934984994376,0.6306283699609587,-0.16565324961501293,1.028504014587491,2.5215558805937275,0.954973790336695,0.4476516142009454,507.2857142857143,962.0,20465.0,0.012641339017721388,-0.005843694374999986,830,538.7,1050,512,"[{'date': '2026-06-09', 'strict_match_count': 662}, {'date': '2026-06-10', 'strict_match_count': 545}, {'date': '2026-06-11', 'strict_match_count': 479}, {'date': '2026-06-12', 'strict_match_count': 493}, {'date': '2026-06-15', 'strict_match_count': 512}]",True,,
stock_tech_s01_55d_trend_volume_breakout_v1,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,unsupported_feature,0.155,,,,,,,,,,,,,,,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,missing_feature_key,['technicalIndicators.stockTechS01Admission']
stock_tech_s02_52w_dual_momentum_v1,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,unsupported_feature,0.143,,,,,,,,,,,,,,,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,missing_feature_key,['technicalIndicators.stockTechS02Admission']
stock_tech_s04_ma_deduct_turn_breakout_v1,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,unsupported_feature,0.139,,,,,,,,,,,,,,,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,missing_feature_key,['technicalIndicators.stockTechS04Admission']
